File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/801.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 9
Injection Number	10
Position	
Comment	$$ 2.1 vial 2:B,2 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	15:31:42
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.252554
Signal Max.	29.108578
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
3.775000	0.5	0.100766
3.783333	0.5	0.098618
3.791667	0.5	0.099985
3.800000	0.5	0.103696
3.808333	0.5	0.106821
3.816667	0.5	0.108774
3.825000	0.5	0.110727
3.833333	0.5	0.115415
3.841667	0.5	0.124594
3.850000	0.5	0.136899
3.858333	0.5	0.151743
3.866667	0.5	0.165805
3.875000	0.5	0.180454
3.883333	0.5	0.194126
3.891667	0.5	0.205649
3.900000	0.5	0.216391
3.908333	0.5	0.229087
3.916667	0.5	0.243930
3.925000	0.5	0.259165
3.933333	0.5	0.273618
3.941667	0.5	0.281626
3.950000	0.5	0.282993
3.958333	0.5	0.278110
3.966667	0.5	0.269516
3.975000	0.5	0.258969
3.983333	0.5	0.248227
3.991667	0.5	0.235727
4.000000	0.5	0.219712
4.008333	0.5	0.203305
4.016667	0.5	0.188852
4.025000	0.5	0.178110
4.033333	0.5	0.171079
4.041667	0.5	0.163852
4.050000	0.5	0.153305
4.058333	0.5	0.138266
4.066667	0.5	0.124204
4.075000	0.5	0.113071
4.083333	0.5	0.107212
4.091667	0.5	0.104673
4.100000	0.5	0.101157
4.108333	0.5	0.097251
4.116667	0.5	0.094516
4.125000	0.5	0.094712
4.133333	0.5	0.098032
4.141667	0.5	0.103891
4.150000	0.5	0.109165
4.158333	0.5	0.112485
4.166667	0.5	0.115219
4.175000	0.5	0.118149
4.183333	0.5	0.122251
4.191667	0.5	0.125180
4.200000	0.5	0.125571
4.208333	0.5	0.122446
4.216667	0.5	0.117563
4.225000	0.5	0.112876
4.233333	0.5	0.109360
4.241667	0.5	0.107407
4.250000	0.5	0.108384
4.258333	0.5	0.112680
4.266667	0.5	0.116001
4.275000	0.5	0.114634
4.283333	0.5	0.105649
4.291667	0.5	0.091587
4.300000	0.5	0.079868
4.308333	0.5	0.074009
4.316667	0.5	0.075376
4.325000	0.5	0.081430
4.333333	0.5	0.087290
4.341667	0.5	0.091391
4.350000	0.5	0.092173
4.358333	0.5	0.091196
4.366667	0.5	0.089438
4.375000	0.5	0.088462
4.383333	0.5	0.088266
4.391667	0.5	0.087876
4.400000	0.5	0.086704
4.408333	0.5	0.085141
4.416667	0.5	0.082798
4.425000	0.5	0.080454
4.433333	0.5	0.079477
4.441667	0.5	0.080259
4.450000	0.5	0.084360
4.458333	0.5	0.090024
4.466667	0.5	0.094712
4.475000	0.5	0.095493
4.483333	0.5	0.092563
4.491667	0.5	0.088852
4.500000	0.5	0.085141
4.508333	0.5	0.082993
4.516667	0.5	0.082212
4.525000	0.5	0.083774
4.533333	0.5	0.087485
4.541667	0.5	0.091977
4.550000	0.5	0.094516
4.558333	0.5	0.093540
4.566667	0.5	0.090024
4.575000	0.5	0.084555
4.583333	0.5	0.079477
4.591667	0.5	0.075571
4.600000	0.5	0.074985
4.608333	0.5	0.075962
4.616667	0.5	0.077134
4.625000	0.5	0.077524
4.633333	0.5	0.078110
4.641667	0.5	0.081430
4.650000	0.5	0.085337
4.658333	0.5	0.089048
4.666667	0.5	0.087680
4.675000	0.5	0.080649
4.683333	0.5	0.070298
4.691667	0.5	0.059946
4.700000	0.5	0.054673
4.708333	0.5	0.054673
4.716667	0.5	0.059360
4.725000	0.5	0.064829
4.733333	0.5	0.068344
4.741667	0.5	0.069712
4.750000	0.5	0.068540
4.758333	0.5	0.065805
4.766667	0.5	0.062680
4.775000	0.5	0.058579
4.783333	0.5	0.055259
4.791667	0.5	0.053305
4.800000	0.5	0.053696
4.808333	0.5	0.056626
4.816667	0.5	0.060337
4.825000	0.5	0.062680
4.833333	0.5	0.064243
4.841667	0.5	0.066977
4.850000	0.5	0.073423
4.858333	0.5	0.081235
4.866667	0.5	0.085727
4.875000	0.5	0.086118
4.883333	0.5	0.083774
4.891667	0.5	0.081821
4.900000	0.5	0.081626
4.908333	0.5	0.082602
4.916667	0.5	0.084751
4.925000	0.5	0.088071
4.933333	0.5	0.091782
4.941667	0.5	0.094126
4.950000	0.5	0.093344
4.958333	0.5	0.091001
4.966667	0.5	0.089829
4.975000	0.5	0.091196
4.983333	0.5	0.094321
4.991667	0.5	0.096665
5.000000	0.5	0.097055
5.008333	0.5	0.095102
5.016667	0.5	0.088852
5.025000	0.5	0.079868
5.033333	0.5	0.069907
5.041667	0.5	0.063266
5.050000	0.5	0.063266
5.058333	0.5	0.068149
5.066667	0.5	0.074594
5.075000	0.5	0.077524
5.083333	0.5	0.078305
5.091667	0.5	0.078305
5.100000	0.5	0.079868
5.108333	0.5	0.083579
5.116667	0.5	0.087485
5.125000	0.5	0.088462
5.133333	0.5	0.085923
5.141667	0.5	0.080454
5.150000	0.5	0.075962
5.158333	0.5	0.075376
5.166667	0.5	0.079477
5.175000	0.5	0.083969
5.183333	0.5	0.086899
5.191667	0.5	0.087290
5.200000	0.5	0.088266
5.208333	0.5	0.091587
5.216667	0.5	0.096274
5.225000	0.5	0.102134
5.233333	0.5	0.105259
5.241667	0.5	0.106821
5.250000	0.5	0.107798
5.258333	0.5	0.107212
5.266667	0.5	0.105844
5.275000	0.5	0.106430
5.283333	0.5	0.109360
5.291667	0.5	0.113266
5.300000	0.5	0.115610
5.308333	0.5	0.114243
5.316667	0.5	0.109555
5.325000	0.5	0.102329
5.333333	0.5	0.094907
